Title,favicon URL,"% of links in <meta>, <script> & <link> tags",% of request URLs,URL,class label phishing-1 else-0,Evaluated status,"Evaluated status(Phishing=1,Legit=0)"
My Login,Null,5.960264900662252,62.5,http://web-rechungbetrag-domain.de/WWW.T-ONLINE.DE-TELEKOM-2016/login.idm.telekom.com/toid/mein-suport.html,1,0,0
Telekom Login,Null,6.756756756756757,100.0,http://developeronline.net/set/accounts.login.idm.telekom.com/oauth2/auth71c2.php,1,0,0
Telekom Login,Null,5.0,100.0,https://dairesanat.com/cache/tonline/usrs.php?claims=%7B%22id_token%22:%7B%22urn:telekom.com:all%22:%7B%22essential%22:true%7D%7D%7D&client_id=10LIVESAM30000004901AM200000000000000000&logout_uri=https://account.idm.telekom.com/account-manager/logout&nonce=563d9372867c&redirect_uri=https://account.idm.telekom.com/account-manager/openid_connect_login&response_type=code&state=36184e7e08e66&uri=https://accounts.login.idm.telekom.com/oauth2/auth?scope=openid,1,0,0
Telekom Login,Null,5.0,100.0,https://dairesanat.com/cache/tonline,1,0,0
t-online,"data:image/x-icon;,",8.771929824561402,0.0,https://8a152692.sibforms.com/serve/MUIEAHZIW0kLsSmJR8McNfBlaWHDCt_eKa9t9SNYgj1ekQXjLUkGeIFqdkd7pGV4BCH7FOpSeMXKArEX_O4n-CkSqgf-fHm-hJOCWQf_CGykq8QoQrHoMCjyHPXiUNSCoBszWQPfGuWrmhpaDlrzIokcTuiLR16ZL71OL1ROPwXakMroW7RLEcoLEigrXN1rkBb8tCJwnbb3QZLW,1,1,1
Telekom-Login,images/favicon.ico,3.571428571428571,0.0,http://wintouch.ir/kdxq/login.php?l=_JeHFUq_VJOXK0QWHtoGYDw1774256418&fid.13InboxLight.aspxn.1774256418&fid.125289964252813InboxLight99642_Product-userid&userid=,1,1,1
Sâinscrire Ã  Facebook | Facebook,https://static.xx.fbcdn.net/rsrc.php/yo/r/iRmz9lCMBD2.ico,14.551083591331269,35.714285714285715,https://fishing-fbook-authenticate-fak.000webhostapp.com/,1,0,0
Sign in to your account,https://secure.aadcdn.microsoftonline-p.com/ests/2.1.8576.13/content/images/favicon_a_eupayfgghqiai7k9sol6lg2.ico,3.125,66.66666666666666,http://bvpqspelzwqhjmes-dot-millinium.ey.r.appspot.com/,1,0,0
Sign in to your account,https://secure.aadcdn.microsoftonline-p.com/ests/2.1.8576.13/content/images/favicon_a_eupayfgghqiai7k9sol6lg2.ico,3.125,66.66666666666666,http://czawsyemheykedfg-dot-millinium.ey.r.appspot.com/,1,0,0
Sign in to your account,https://secure.aadcdn.microsoftonline-p.com/ests/2.1.8576.13/content/images/favicon_a_eupayfgghqiai7k9sol6lg2.ico,3.125,66.66666666666666,http://cqzmqqwfxdgwnhhv-dot-millinium.ey.r.appspot.com/,1,0,0
Sign in to your account,https://secure.aadcdn.microsoftonline-p.com/ests/2.1.8576.13/content/images/favicon_a_eupayfgghqiai7k9sol6lg2.ico,3.125,66.66666666666666,http://czweledcutkpozdt-dot-millinium.ey.r.appspot.com/,1,0,0
Sign in to your account,https://secure.aadcdn.microsoftonline-p.com/ests/2.1.8576.13/content/images/favicon_a_eupayfgghqiai7k9sol6lg2.ico,3.125,66.66666666666666,http://coivspkazasbwtaz-dot-millinium.ey.r.appspot.com/,1,0,0
Sign in to your account,https://secure.aadcdn.microsoftonline-p.com/ests/2.1.8576.13/content/images/favicon_a_eupayfgghqiai7k9sol6lg2.ico,3.125,66.66666666666666,http://eauiefzneyqhswxd-dot-millinium.ey.r.appspot.com/,1,0,0
Sign in to your account,https://secure.aadcdn.microsoftonline-p.com/ests/2.1.8576.13/content/images/favicon_a_eupayfgghqiai7k9sol6lg2.ico,3.125,66.66666666666666,http://ketwucfevldwbklm-dot-millinium.ey.r.appspot.com/,1,0,0
Sign in to your account,https://secure.aadcdn.microsoftonline-p.com/ests/2.1.8576.13/content/images/favicon_a_eupayfgghqiai7k9sol6lg2.ico,3.125,66.66666666666666,http://agunfckcqlyurmsf-dot-millinium.ey.r.appspot.com/,1,0,0
Sign in to your account,https://secure.aadcdn.microsoftonline-p.com/ests/2.1.8576.13/content/images/favicon_a_eupayfgghqiai7k9sol6lg2.ico,3.125,66.66666666666666,http://kraugsdhwmzflmik-dot-millinium.ey.r.appspot.com/,1,0,0
Sign in to your account,https://secure.aadcdn.microsoftonline-p.com/ests/2.1.8576.13/content/images/favicon_a_eupayfgghqiai7k9sol6lg2.ico,3.125,66.66666666666666,http://hylgpntbqwcohwcu-dot-millinium.ey.r.appspot.com/,1,0,0
2PM - Premier Media Pertners,Null,12.22222222222222,50.0,http://2pm.jp,0,0,0
"3D TEXTURES | Free seamless PBR textures with Diffuse, Normal, Displacement, Occlusion, Specularity and Roughness Maps.	",Null,5.536626916524702,98.27586206896552,https://3dtextures.me,0,0,0
"
酷碰達人
",Null,2.058319039451116,98.71794871794872,http://4freeapp.com,0,0,0
Автотовары и автоаксессуары оптом. Продажа автомобильных аксессуаров с доставкой по всей России. Товары торговой марки SKYWAY. // Интернет-магазин 3Davto.ru,Null,0.1446393057313325,0.0,https://3davto.ru,0,0,0
4barsrest.com,Null,3.58814352574103,27.52293577981652,https://4barsrest.com,0,0,0
کسب درآمد از کوتاه کننده لینک تواَد,Null,7.916666666666666,80.0,https://2ad.ir,0,0,0
Отслеживание посылок - отследить посылку по идентификатору (трек-номеру) на 1Track.ru,Null,2.366863905325444,7.936507936507936,https://1track.ru,0,0,0
"
        Fasteners Online | 400,000 Articles Available",Null,2.2545454545454544,0.3623188405797101,https://fabory.com,0,0,0
01Webdirectory.com - Web Directory & Resource Portal,Null,1.5945330296127564,5.0,https://01webdirectory.com,0,0,0
"
	آیفون تصویری|جک پارکینگی|دوربین مداربسته|راهبند
",Null,0.900360144057623,41.80064308681672,https://2bk.ir,0,0,0
Последние новости Кирова и Кировской области за сегодня,Null,1.9191919191919191,26.451612903225808,http://1istochnik.ru,0,0,0
3Pulse.com - Independent travelers community,Null,15.476190476190476,62.5,https://3pulse.com,0,0,0
منتدى اللمة الجزائرية,Null,0.3799731783638802,0.7215007215007215,https://4algeria.com,0,0,0
2M - الرئيسية,Null,65.57377049180327,0.0,https://2m.ma,0,0,0
Human photo references and textures for artists - 3d.sk - Site,Null,2.378121284185493,73.80952380952381,https://3d.sk,0,0,0
Первое сентября,Null,4.823747680890538,44.55445544554456,https://1september.ru,0,0,0
Запчасти для телефонов купить с доставкой | Интернет магазин CHIP,Null,1.8544935805991445,2.6737967914438503,https://4ip.info,0,0,0
3W_ToB行业头条_袋鼠申报,Null,0.2758620689655172,4.80349344978166,http://3wcoffee.com,0,0,0
العملاق لرفع و تحميل الصور,Null,4.123711340206185,40.0,https://0zz0.com,0,0,0
www.3D-Druck-Community.de,Null,1.2404580152671756,49.06666666666666,https://3d-druck-community.de,0,0,0
موقع عبير - موقع عبير,Null,5.538461538461538,89.42307692307693,https://3bir.net,0,0,0
NoPaperForms: A Comprehensive Enrolment Automation Platform,Null,5.2100840336134455,79.47019867549669,https://nopaperforms.com,0,0,0
同城交友-婚介征婚-免费交友软件-婚介网-海外华人交友聊天恋爱「两颗红豆」 | 两颗红豆 2RedBeans,Null,0.2652519893899204,37.83783783783784,https://2redbeans.com,0,0,0
norauto.es,Null,22.22222222222222,0.0,https://norauto.es,0,0,0
"易数字许可授权交易平台-低费率,高可靠,成功人士的第一选择!",Null,5.147058823529411,0.0,https://1ka123.com,0,0,0
Ethiopian Business Portal,Null,3.2064128256513023,5.3097345132743365,https://2merkato.com,0,0,0
Cheap Texas Electricity Rates and a Charitable Cause | 4Change Energy,Null,3.7366548042704624,16.129032258064516,https://4changeenergy.com,0,0,0
3dbrew,Null,2.0361990950226243,23.00884955752212,https://3dbrew.org,0,0,0
Интернет-магазин керамической плитки и керамогранита с салоном в Москве - 3Dplitka,Null,0.4131489132387282,0.078125,https://3dplitka.ru,0,0,0
